addresses;emerald_balance;eth_balance;erc20_input_tx_count;erc20_output_tx_count;erc20_amount_in;erc20_amount_out;erc20_balance;transfer_input_tx_count;transfer_output_tx_count;transfer_output_balance;swap_ledger_emerald_bought;swap_ledger_emerald_sold;swap_ledger_ether_gained;swap_ledger_ether_spent;swap_ledger_emerald_received;swap_ledger_eth_received;swap_ledger_received_from;swap_ledger_tx_list;os_eth_spent;os_eth_gained;os_emeralds_bought;os_emeralds_sold;ox_txs;is_contract
0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67;0.0;0.0;4;5;144.9;144.9;0.01;144;143;1;0.0;0.0;0.0;0.0;144.9;0.0;0xd6baeaa0467b84bef2eff2121f38f1b0bdb07c268f7ccfd9c3c024705a32bdb4, 0x7608f4c06e43f21c27ab1decd4203f9ca0947f8524b6a8c43bb2f3bfe47b8aee, 0xb4afd7c7bd319ad8831a0e0279d22d47acdb4424ba2d5e4ff0f1304a5490f05b, 0xe6abbd9f2ddd1b2146d47af6fa410cd08ee4dd257e969b45f0859a0ddb90c458;0x32d2d07691c806916e4b00454975F4913e9f5028;0.0;0.0;0;0;;True
0xDd37fAb50Bc836bB863Ab99547f0DA87761e328f;5.0;-0.28;1;0;5.0;0.0;5.0;5;0;5;5.0;0.0;0.0;0.28;0.0;0.0;0x392339eb50fb5128ab6a7576fe553bf841f9c00ffcd0bac5f48af8e9468c87a2;;0.0;0.0;0;0;;False
0x9EFB0d96eecB8721Db8eD92C371FEEbFb6ae8BD6;1.22;-0.1;1;0;1.22;0.0;1.22;1;0;1;1.226;0.0;0.0;0.1;0.0;0.0;0x129a7015aaf508b99b7f47baa985e3a2617d19aeb792b94f364665509de28204;;0.0;0.0;0;0;;False
0x9B6ec018323c6b368DB5412e032119f50be7e4cd;0.0;-0.05749;1;1;2.0;2.0;0.0;0;0;0;2.0;0.0;0.0;0.05749;0.0;0.0;0x7a76889b10d20e27cc6d62381cc6d70eb58b2843125011c54b5218191b5ee569;;0.0;0.0;0;0;;False
0x266559FF8500fDAe9675647c81531B1c0F2EFa1C;3.0;-0.3182;2;0;3.0;0.0;3.0;3;0;3;3.0;0.0;0.0;0.3182;0.0;0.0;0x1997db5c299307c70594cb6fbe09c419ab17c1a361b99e1cdd0371a8ca2cb329, 0x0b9a0f1ac70e26f7c6c0aee056f5d94edd7879fcdd92cb354ba2a2c772a5dcf6;;0.0;0.0;0;0;;False
0x4ec2DcdFb3c165dA62DD1367cB42fe7551524984;20.0;-1.336;2;0;20.0;0.0;20.0;20;0;20;20.0;0.0;0.0;1.336;0.0;0.0;0x41b659069ea684424e9afcbfcec3ba07dcf2061016a57bef657367abc57fb0e9, 0xb40a07ad27ade40f816cb98a85630ba7b1c67a72a7870bc1a5aae79030ffe201;;0.0;0.0;0;0;;False
0xFC6e4c4895d2B8fbc28f6D11d1DB133e2c8F7Da8;0.0;0.537;4;3;82.0;82.0;0.0;57;57;0;82.0;82.0;5.192;4.655;0.0;0.0;0x82bbf7ad37791a98c19dd48bc75258f94f698811729722afd226745a9d09cf1a, 0xe1dd0134c99776acf14ea7540f2413b94ee6f72ecba868714b4e93fab994e2a4, 0xb8894dce96cb0da30ddfce2a4543d11d3aa239846554348cc9813ad0a349f25a, 0xd69a9760004f621ce3452f2d495a2cace0f731c9caebb33d5b132ad106430ff3, 0xa05e825a87a42e9dbdaa195bfc52ad715df59fb7efcabbea62c29a3425640164, 0x433f9c0baabc23c62859ba2b7a85061b92d80ae9cc67a5c1133c95b6733fda2d, 0x1a41e822a7948edf8f045a813257cd1efb5d3fa5b04c20fc03f2ed3bf5d90a0d;;0.0;0.0;0;0;;False
0x11800B759fb5F1E818D6B9E9f21BfaC2f0bB4636;53.02;-3.0;2;0;53.02;0.0;53.02;53;0;53;53.04;0.0;0.0;3.0;0.0;0.0;0x9df49bf9f4e767f5d31949c27f57352f24b0c8f7fa9e9df87af6b82b4979ec15, 0x34bda2a0f5b81edf396bee72ecca9cd23368d5519f083bd9d8a8add4eea83edf;;0.0;0.0;0;0;;False
0x7F12698Edb37F3647ece93B99Db0a0e95282f837;1.0;-0.08923;1;0;1.0;0.0;1.0;1;0;1;1.0;0.0;0.0;0.08923;0.0;0.0;0x278be811d34f6798751ae6ac2d0836dc9a75cb598cc0b69e4485495d0f718170;;0.0;0.0;0;0;;False
0x3771B2553aDb08e104823F0d08CB6F0fAfa3F6AD;10.0;-0.5875;1;0;10.0;0.0;10.0;0;0;0;10.0;0.0;0.0;0.5875;0.0;0.0;0x98fcbee389e592355f72bb8471b3bf0fa44318f1b61c0e8fefa4ae907f3226b0;;0.0;0.0;0;0;;False
